Variable	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
System.loc	  3	 6.58462561	2.19487520	12.1695162	0.160585595	0.001
year	  1	 2.35175368	2.35175368	13.0393311	0.057354478	0.001
Soil_Zone	  1	 0.28640009	0.28640009	 1.5879493	0.006984714	0.001
Glyphosphate_Treatment	  1	 0.09626603	0.09626603	 0.5337484	0.002347732	0.630
Sampling_date	  1	 1.26521623	1.26521623	 7.0150090	0.030856044	0.001
System.loc:year	  3	 1.51762537	0.50587512	 2.8048317	0.037011789	0.001
System.loc:Soil_Zone	  3	 0.28491487	0.09497162	 0.5265715	0.006948493	0.673
year:Soil_Zone	  1	 0.10153192	0.10153192	 0.5629452	0.002476157	0.538
System.loc:Glyphosphate_Treatment	  3	 0.39971409	0.13323803	 0.7387401	0.009748212	0.138
year:Glyphosphate_Treatment	  1	 0.09492661	0.09492661	 0.5263219	0.002315066	0.830
Soil_Zone:Glyphosphate_Treatment	  1	 0.07425803	0.07425803	 0.4117247	0.001811002	0.924
System.loc:Sampling_date	  3	 0.56071330	0.18690443	 1.0362942	0.013674654	0.001
year:Sampling_date	  1	 0.61955615	0.61955615	 3.4351377	0.015109711	0.001
Soil_Zone:Sampling_date	  1	 0.12126224	0.12126224	 0.6723402	0.002957339	0.190
Glyphosphate_Treatment:Sampling_date	  1	 0.07269145	0.07269145	 0.4030388	0.001772796	0.951
System.loc:year:Soil_Zone	  3	 0.26718465	0.08906155	 0.4938030	0.006516089	0.903
System.loc:year:Glyphosphate_Treatment	  3	 0.34926488	0.11642163	 0.6455013	0.008517858	0.663
System.loc:Soil_Zone:Glyphosphate_Treatment	  3	 0.20067564	0.06689188	 0.3708830	0.004894070	0.999
year:Soil_Zone:Glyphosphate_Treatment	  1	 0.08273056	0.08273056	 0.4587007	0.002017630	0.786
System.loc:year:Sampling_date	  3	 0.37469133	0.12489711	 0.6924938	0.009137958	0.030
System.loc:Soil_Zone:Sampling_date	  3	 0.21100835	0.07033612	 0.3899796	0.005146064	0.999
year:Soil_Zone:Sampling_date	  1	 0.08643552	0.08643552	 0.4792429	0.002107986	0.790
System.loc:Glyphosphate_Treatment:Sampling_date	  3	 0.26025803	0.08675268	 0.4810014	0.006347163	0.894
year:Glyphosphate_Treatment:Sampling_date	  1	 0.10243228	0.10243228	 0.5679372	0.002498114	0.347
Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.07412229	0.07412229	 0.4109721	0.001807692	0.929
System.loc:year:Soil_Zone:Glyphosphate_Treatment	  3	 0.22011173	0.07337058	 0.4068042	0.005368076	0.999
System.loc:year:Soil_Zone:Sampling_date	  3	 0.23630786	0.07876929	 0.4367374	0.005763067	0.993
System.loc:year:Glyphosphate_Treatment:Sampling_date	  3	 0.29790596	0.09930199	 0.5505813	0.007265319	0.574
System.loc:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  3	 0.19665371	0.06555124	 0.3634498	0.004795983	1.000
year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.13360333	0.13360333	 0.7407655	0.003258313	0.074
System.loc:year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  3	 0.21275418	0.07091806	 0.3932062	0.005188641	0.999
Residuals	129	23.26624131	0.18035846	NA	0.567416195	NA
Total	192	41.00383726	NA	NA	1.000000000	NA
