Variable	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
System.loc	  3	 5.82199324	1.94066441	10.7239793	0.133129865	0.001
year	  1	 2.84938154	2.84938154	15.7454882	0.065155998	0.001
Soil_Zone	  1	 0.20979173	0.20979173	 1.1592948	0.004797248	0.002
Glyphosphate_Treatment	  1	 0.14272023	0.14272023	 0.7886623	0.003263543	0.033
Sampling_date	  1	 1.00052302	1.00052302	 5.5288220	0.022878676	0.001
System.loc:year	  3	 2.79779743	0.93259914	 5.1534793	0.063976439	0.001
System.loc:Soil_Zone	  3	 0.30891628	0.10297209	 0.5690168	0.007063901	0.483
year:Soil_Zone	  1	 0.15666347	0.15666347	 0.8657116	0.003582379	0.057
System.loc:Glyphosphate_Treatment	  3	 0.34732620	0.11577540	 0.6397670	0.007942209	0.086
year:Glyphosphate_Treatment	  1	 0.11306134	0.11306134	 0.6247693	0.002585342	0.191
Soil_Zone:Glyphosphate_Treatment	  1	 0.08554131	0.08554131	 0.4726955	0.001956049	0.889
System.loc:Sampling_date	  3	 0.52352211	0.17450737	 0.9643158	0.011971231	0.001
year:Sampling_date	  1	 0.49791721	0.49791721	 2.7514566	0.011385731	0.001
Soil_Zone:Sampling_date	  1	 0.13830011	0.13830011	 0.7642370	0.003162469	0.061
Glyphosphate_Treatment:Sampling_date	  1	 0.09500390	0.09500390	 0.5249851	0.002172427	0.504
System.loc:year:Soil_Zone	  3	 0.34001926	0.11333975	 0.6263078	0.007775124	0.389
System.loc:year:Glyphosphate_Treatment	  3	 0.37188216	0.12396072	 0.6849985	0.008503724	0.033
System.loc:Soil_Zone:Glyphosphate_Treatment	  3	 0.22984302	0.07661434	 0.4233656	0.005255755	0.990
year:Soil_Zone:Glyphosphate_Treatment	  1	 0.07720358	0.07720358	 0.4266217	0.001765392	0.987
System.loc:year:Sampling_date	  3	 0.44586562	0.14862187	 0.8212743	0.010195482	0.002
System.loc:Soil_Zone:Sampling_date	  3	 0.24158302	0.08052767	 0.4449904	0.005524210	0.954
year:Soil_Zone:Sampling_date	  1	 0.11794372	0.11794372	 0.6517490	0.002696986	0.570
System.loc:Glyphosphate_Treatment:Sampling_date	  3	 0.30477338	0.10159113	 0.5613856	0.006969166	0.479
year:Glyphosphate_Treatment:Sampling_date	  1	 0.09470287	0.09470287	 0.5233216	0.002165544	0.558
Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.07612590	0.07612590	 0.4206665	0.001740749	0.985
System.loc:year:Soil_Zone:Glyphosphate_Treatment	  3	 0.24036700	0.08012233	 0.4427506	0.005496404	0.990
System.loc:year:Soil_Zone:Sampling_date	  3	 0.24490779	0.08163593	 0.4511146	0.005600237	0.990
System.loc:year:Glyphosphate_Treatment:Sampling_date	  3	 0.34786385	0.11595462	 0.6407573	0.007954504	0.334
System.loc:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  3	 0.26494167	0.08831389	 0.4880165	0.006058346	0.849
year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.06219780	0.06219780	 0.3437008	0.001422259	1.000
System.loc:year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  3	 0.20984106	0.06994702	 0.3865225	0.004798376	1.000
Residuals	138	24.97316360	0.18096495	NA	0.571054235	NA
Total	201	43.73168443	NA	NA	1.000000000	NA
