Variable	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
System.loc	  3	 6.29596718	2.09865573	 8.9678456	0.090375813	0.001
year	  1	 6.00537379	6.00537379	25.6617912	0.086204474	0.001
Soil_Zone	  1	 0.24631899	0.24631899	 1.0525550	0.003535800	0.012
Glyphosphate_Treatment	  1	 0.16360213	0.16360213	 0.6990945	0.002348436	0.163
Sampling_date	  1	 1.16310440	1.16310440	 4.9701057	0.016695847	0.001
System.loc:year	  3	 3.02031565	1.00677188	 4.3020752	0.043355290	0.001
System.loc:Soil_Zone	  3	 0.40596297	0.13532099	 0.5782453	0.005827418	0.479
year:Soil_Zone	  1	 0.16195634	0.16195634	 0.6920618	0.002324811	0.170
System.loc:Glyphosphate_Treatment	  3	 0.48425209	0.16141736	 0.6897587	0.006951224	0.132
year:Glyphosphate_Treatment	  1	 0.26441903	0.26441903	 1.1298990	0.003795618	0.004
Soil_Zone:Glyphosphate_Treatment	  1	 0.09875616	0.09875616	 0.4219987	0.001417601	0.937
System.loc:Sampling_date	  3	 0.63143359	0.21047786	 0.8994010	0.009063949	0.007
year:Sampling_date	  1	 0.61418654	0.61418654	 2.6245039	0.008816375	0.001
Soil_Zone:Sampling_date	  1	 0.18623138	0.18623138	 0.7957924	0.002673269	0.067
Glyphosphate_Treatment:Sampling_date	  1	 0.15119038	0.15119038	 0.6460574	0.002170271	0.261
System.loc:year:Soil_Zone	  3	 0.37379076	0.12459692	 0.5324198	0.005365600	0.718
System.loc:year:Glyphosphate_Treatment	  3	 0.48088395	0.16029465	 0.6849612	0.006902876	0.137
System.loc:Soil_Zone:Glyphosphate_Treatment	  3	 0.33551397	0.11183799	 0.4778992	0.004816154	0.917
year:Soil_Zone:Glyphosphate_Treatment	  1	 0.22458615	0.22458615	 0.9596876	0.003223834	0.020
System.loc:year:Sampling_date	  3	 0.59294773	0.19764924	 0.8445825	0.008511501	0.011
System.loc:Soil_Zone:Sampling_date	  3	 0.34166711	0.11388904	 0.4866636	0.004904480	0.892
year:Soil_Zone:Sampling_date	  1	 0.13156166	0.13156166	 0.5621811	0.001888509	0.470
System.loc:Glyphosphate_Treatment:Sampling_date	  3	 0.38159583	0.12719861	 0.5435372	0.005477639	0.658
year:Glyphosphate_Treatment:Sampling_date	  1	 0.11193745	0.11193745	 0.4783242	0.001606812	0.814
Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.09486217	0.09486217	 0.4053592	0.001361704	0.975
System.loc:year:Soil_Zone:Glyphosphate_Treatment	  3	 0.38119053	0.12706351	 0.5429599	0.005471821	0.641
System.loc:year:Soil_Zone:Sampling_date	  3	 0.27613574	0.09204525	 0.3933220	0.003963806	1.000
System.loc:year:Glyphosphate_Treatment:Sampling_date	  3	 0.42931766	0.14310589	 0.6115112	0.006162664	0.319
System.loc:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  3	 0.25988024	0.08662675	 0.3701681	0.003730465	1.000
year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.11707843	0.11707843	 0.5002923	0.001680609	0.730
System.loc:year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  3	 0.30642281	0.10214094	 0.4364623	0.004398563	0.990
Residuals	192	44.93185068	0.23402006	NA	0.644976765	NA
Total	255	69.66429349	NA	NA	1.000000000	NA
