Variable	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
System.loc	  3	 6.7996213	2.26654043	 9.5028755	0.095737161	0.001
year	  1	 6.7992666	6.79926660	28.5071395	0.095732167	0.001
Soil_Zone	  1	 0.3619707	0.36197074	 1.5176270	0.005096468	0.001
Glyphosphate_Treatment	  1	 0.2067261	0.20672614	 0.8667363	0.002910658	0.041
Sampling_date	  1	 1.1453992	1.14539921	 4.8022907	0.016126967	0.001
System.loc:year	  3	 2.2674229	0.75580764	 3.1688585	0.031924812	0.001
System.loc:Soil_Zone	  3	 0.3474918	0.11583059	 0.4856404	0.004892607	0.902
year:Soil_Zone	  1	 0.1674950	0.16749500	 0.7022527	0.002358293	0.165
System.loc:Glyphosphate_Treatment	  3	 0.6257969	0.20859898	 0.8745885	0.008811082	0.002
year:Glyphosphate_Treatment	  1	 0.1276859	0.12768588	 0.5353459	0.001797789	0.578
Soil_Zone:Glyphosphate_Treatment	  1	 0.1408908	0.14089076	 0.5907097	0.001983711	0.389
System.loc:Sampling_date	  3	 0.6255191	0.20850635	 0.8742001	0.008807170	0.003
year:Sampling_date	  1	 0.7877469	0.78774687	 3.3027694	0.011091301	0.001
Soil_Zone:Sampling_date	  1	 0.1371370	0.13713700	 0.5749714	0.001930859	0.418
Glyphosphate_Treatment:Sampling_date	  1	 0.1022944	0.10229438	 0.4288875	0.001440282	0.949
System.loc:year:Soil_Zone	  3	 0.3437221	0.11457402	 0.4803720	0.004839530	0.922
System.loc:year:Glyphosphate_Treatment	  3	 0.4549477	0.15164924	 0.6358165	0.006405563	0.208
System.loc:Soil_Zone:Glyphosphate_Treatment	  3	 0.3066609	0.10222030	 0.4285769	0.004317718	0.990
year:Soil_Zone:Glyphosphate_Treatment	  1	 0.2481298	0.24812983	 1.0403286	0.003493613	0.007
System.loc:year:Sampling_date	  3	 0.4671888	0.15572961	 0.6529242	0.006577915	0.162
System.loc:Soil_Zone:Sampling_date	  3	 0.2558529	0.08528429	 0.3575696	0.003602352	1.000
year:Soil_Zone:Sampling_date	  1	 0.1080193	0.10801925	 0.4528900	0.001520887	0.876
System.loc:Glyphosphate_Treatment:Sampling_date	  3	 0.3094424	0.10314746	 0.4324642	0.004356880	0.988
year:Glyphosphate_Treatment:Sampling_date	  1	 0.1320625	0.13206254	 0.5536958	0.001859411	0.504
Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.1091204	0.10912038	 0.4575067	0.001536391	0.854
System.loc:year:Soil_Zone:Glyphosphate_Treatment	  3	 0.3956227	0.13187424	 0.5529063	0.005570280	0.583
System.loc:year:Soil_Zone:Sampling_date	  3	 0.2969243	0.09897476	 0.4149694	0.004180628	0.999
System.loc:year:Glyphosphate_Treatment:Sampling_date	  3	 0.3232286	0.10774287	 0.4517312	0.004550987	0.971
System.loc:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  3	 0.3456494	0.11521648	 0.4830657	0.004866668	0.919
year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.1685900	0.16858998	 0.7068436	0.002373710	0.160
System.loc:year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  3	 0.3221050	0.10736835	 0.4501610	0.004535168	0.982
Residuals	192	45.7941137	0.23851101	NA	0.644770972	NA
Total	255	71.0238452	NA	NA	1.000000000	NA
