Variable	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
System.loc	  1	 7.6123984	7.6123984	45.5516182	0.207748859	0.001
year	  1	 1.8690244	1.8690244	11.1840029	0.051007273	0.001
Soil_Zone	  1	 0.2571366	0.2571366	 1.5386724	0.007017477	0.044
Glyphosphate_Treatment	  1	 0.1995611	0.1995611	 1.1941483	0.005446194	0.001
Sampling_date	  1	 1.2268585	1.2268585	 7.3413645	0.033482018	0.001
System.loc:year	  1	 0.6818919	0.6818919	 4.0803537	0.018609412	0.001
System.loc:Soil_Zone	  1	 0.1321318	0.1321318	 0.7906598	0.003605990	0.623
year:Soil_Zone	  1	 0.6271970	0.6271970	 3.7530667	0.017116743	0.001
System.loc:Glyphosphate_Treatment	  1	 0.1811154	0.1811154	 1.0837711	0.004942793	0.001
year:Glyphosphate_Treatment	  1	 0.1856113	0.1856113	 1.1106744	0.005065491	0.220
Soil_Zone:Glyphosphate_Treatment	  1	 0.1218172	0.1218172	 0.7289388	0.003324497	0.711
System.loc:Sampling_date	  1	 0.3442875	0.3442875	 2.0601726	0.009395901	0.014
year:Sampling_date	  1	 2.8000924	2.8000924	16.7553948	0.076416915	0.001
Soil_Zone:Sampling_date	  1	 0.5191224	0.5191224	 3.1063621	0.014167294	0.001
Glyphosphate_Treatment:Sampling_date	  1	 0.1420576	0.1420576	 0.8500542	0.003876872	0.552
System.loc:year:Soil_Zone	  1	 0.2294606	0.2294606	 1.3730628	0.006262176	0.108
System.loc:year:Glyphosphate_Treatment	  1	 0.1572635	0.1572635	 0.9410444	0.004291854	0.402
System.loc:Soil_Zone:Glyphosphate_Treatment	  1	 0.1328447	0.1328447	 0.7949259	0.003625446	0.647
year:Soil_Zone:Glyphosphate_Treatment	  1	 0.1812129	0.1812129	 1.0843548	0.004945455	0.251
System.loc:year:Sampling_date	  1	 0.9250644	0.9250644	 5.5354671	0.025245799	0.001
System.loc:Soil_Zone:Sampling_date	  1	 0.2195815	0.2195815	 1.3139476	0.005992567	0.129
year:Soil_Zone:Sampling_date	  1	 0.5999900	0.5999900	 3.5902635	0.016374240	0.001
System.loc:Glyphosphate_Treatment:Sampling_date	  1	 0.1072127	0.1072127	 0.6415468	0.002925925	0.868
year:Glyphosphate_Treatment:Sampling_date	  1	 0.1257547	0.1257547	 0.7525002	0.003431954	0.673
Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.1044553	0.1044553	 0.6250474	0.002850676	0.899
System.loc:year:Soil_Zone:Glyphosphate_Treatment	  1	 0.1242910	0.1242910	 0.7437415	0.003392008	0.698
System.loc:year:Soil_Zone:Sampling_date	  1	 0.2291321	0.2291321	 1.3710972	0.006253211	0.094
System.loc:year:Glyphosphate_Treatment:Sampling_date	  1	 0.1232706	0.1232706	 0.7376355	0.003364160	0.720
System.loc:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.1184777	0.1184777	 0.7089556	0.003233358	0.765
year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.1444470	0.1444470	 0.8643524	0.003942082	0.553
System.loc:year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.1764254	0.1764254	 1.0557072	0.004814801	0.290
Residuals	 96	16.0431238	0.1671159	NA	0.437830559	NA
Total	127	36.6423117	NA	NA	1.000000000	NA
