Variable	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
System.loc	  1	 6.3835625	6.3835625	31.5133354	0.158214748	0.001
year	  1	 2.7726449	2.7726449	13.6875434	0.068719201	0.001
Soil_Zone	  1	 0.4236945	0.4236945	 2.0916262	0.010501145	0.013
Glyphosphate_Treatment	  1	 0.2613768	0.2613768	 1.2903225	0.006478148	0.001
Sampling_date	  1	 1.7054443	1.7054443	 8.4191606	0.042268943	0.001
System.loc:year	  1	 0.7113311	0.7113311	 3.5115841	0.017630136	0.001
System.loc:Soil_Zone	  1	 0.1614815	0.1614815	 0.7971754	0.004002271	0.625
year:Soil_Zone	  1	 1.0073487	1.0073487	 4.9729154	0.024966845	0.001
System.loc:Glyphosphate_Treatment	  1	 0.1828353	0.1828353	 0.9025916	0.004531520	0.001
year:Glyphosphate_Treatment	  1	 0.2185700	0.2185700	 1.0790008	0.005417194	0.264
Soil_Zone:Glyphosphate_Treatment	  1	 0.1106543	0.1106543	 0.5462601	0.002742534	0.977
System.loc:Sampling_date	  1	 0.2918207	0.2918207	 1.4406129	0.007232691	0.074
year:Sampling_date	  1	 2.3391789	2.3391789	11.5476786	0.057975871	0.001
Soil_Zone:Sampling_date	  1	 0.5525912	0.5525912	 2.7279423	0.013695812	0.004
Glyphosphate_Treatment:Sampling_date	  1	 0.1535550	0.1535550	 0.7580454	0.003805816	0.696
System.loc:year:Soil_Zone	  1	 0.1997379	0.1997379	 0.9860339	0.004950447	0.343
System.loc:year:Glyphosphate_Treatment	  1	 0.1479192	0.1479192	 0.7302236	0.003666135	0.739
System.loc:Soil_Zone:Glyphosphate_Treatment	  1	 0.1402898	0.1402898	 0.6925600	0.003477043	0.795
year:Soil_Zone:Glyphosphate_Treatment	  1	 0.1089975	0.1089975	 0.5380811	0.002701471	0.979
System.loc:year:Sampling_date	  1	 0.4307701	0.4307701	 2.1265558	0.010676512	0.007
System.loc:Soil_Zone:Sampling_date	  1	 0.1812610	0.1812610	 0.8948199	0.004492501	0.469
year:Soil_Zone:Sampling_date	  1	 0.9664633	0.9664633	 4.7710792	0.023953513	0.001
System.loc:Glyphosphate_Treatment:Sampling_date	  1	 0.1139359	0.1139359	 0.5624603	0.002823868	0.959
year:Glyphosphate_Treatment:Sampling_date	  1	 0.2243129	0.2243129	 1.1073513	0.005559529	0.233
Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.1342269	0.1342269	 0.6626294	0.003326774	0.852
System.loc:year:Soil_Zone:Glyphosphate_Treatment	  1	 0.1303085	0.1303085	 0.6432860	0.003229659	0.870
System.loc:year:Soil_Zone:Sampling_date	  1	 0.3523928	0.3523928	 1.7396356	0.008733953	0.026
System.loc:year:Glyphosphate_Treatment:Sampling_date	  1	 0.1124986	0.1124986	 0.5553649	0.002788245	0.971
System.loc:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.1523602	0.1523602	 0.7521473	0.003776205	0.745
year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.1085430	0.1085430	 0.5358377	0.002690208	0.976
System.loc:year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.1209142	0.1209142	 0.5969098	0.002996824	0.933
Residuals	 96	19.4464342	0.2025670	NA	0.481974238	NA
Total	127	40.3474558	NA	NA	1.000000000	NA
