Variable	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
System.loc	  1	 8.61821543	8.61821543	66.7759282	0.304426766	0.001
year	  1	 2.05727355	2.05727355	15.9402317	0.072670397	0.001
Soil_Zone	  1	 0.18858756	0.18858756	 1.4612201	0.006661600	0.026
Glyphosphate_Treatment	  1	 0.15371309	0.15371309	 1.1910046	0.005429706	0.001
Sampling_date	  1	 1.13204790	1.13204790	 8.7713692	0.039988056	0.001
System.loc:year	  1	 0.66495937	0.66495937	 5.1522592	0.023488788	0.001
System.loc:Soil_Zone	  1	 0.11369273	0.11369273	 0.8809176	0.004016041	0.474
year:Soil_Zone	  1	 0.55701319	0.55701319	 4.3158671	0.019675735	0.001
System.loc:Glyphosphate_Treatment	  1	 0.13322078	0.13322078	 1.0322255	0.004705843	0.001
year:Glyphosphate_Treatment	  1	 0.16583117	0.16583117	 1.2848983	0.005857761	0.094
Soil_Zone:Glyphosphate_Treatment	  1	 0.09101712	0.09101712	 0.7052217	0.003215056	0.800
System.loc:Sampling_date	  1	 0.23739649	0.23739649	 1.8394030	0.008385709	0.004
year:Sampling_date	  1	 0.80607355	0.80607355	 6.2456445	0.028473454	0.001
Soil_Zone:Sampling_date	  1	 0.26051991	0.26051991	 2.0185686	0.009202512	0.004
Glyphosphate_Treatment:Sampling_date	  1	 0.08583428	0.08583428	 0.6650639	0.003031980	0.878
System.loc:year:Soil_Zone	  1	 0.18747673	0.18747673	 1.4526131	0.006622361	0.034
System.loc:year:Glyphosphate_Treatment	  1	 0.12833623	0.12833623	 0.9943788	0.004533303	0.297
System.loc:Soil_Zone:Glyphosphate_Treatment	  1	 0.08183003	0.08183003	 0.6340380	0.002890535	0.918
year:Soil_Zone:Glyphosphate_Treatment	  1	 0.09764747	0.09764747	 0.7565952	0.003449265	0.734
System.loc:year:Sampling_date	  1	 0.25955294	0.25955294	 2.0110762	0.009168355	0.002
System.loc:Soil_Zone:Sampling_date	  1	 0.11570514	0.11570514	 0.8965102	0.004087127	0.445
year:Soil_Zone:Sampling_date	  1	 0.25141724	0.25141724	 1.9480390	0.008880973	0.004
System.loc:Glyphosphate_Treatment:Sampling_date	  1	 0.08472991	0.08472991	 0.6565069	0.002992969	0.879
year:Glyphosphate_Treatment:Sampling_date	  1	 0.09827341	0.09827341	 0.7614451	0.003471375	0.713
Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.08048588	0.08048588	 0.6236232	0.002843054	0.937
System.loc:year:Soil_Zone:Glyphosphate_Treatment	  1	 0.08019417	0.08019417	 0.6213630	0.002832750	0.931
System.loc:year:Soil_Zone:Sampling_date	  1	 0.10869475	0.10869475	 0.8421921	0.003839495	0.511
System.loc:year:Glyphosphate_Treatment:Sampling_date	  1	 0.09529254	0.09529254	 0.7383487	0.003366080	0.750
System.loc:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.08368783	0.08368783	 0.6484327	0.002956159	0.923
year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.09912210	0.09912210	 0.7680210	0.003501354	0.685
System.loc:year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.09250123	0.09250123	 0.7167209	0.003267480	0.772
Residuals	 86	11.09930700	0.12906171	NA	0.392067960	NA
Total	117	28.30965073	NA	NA	1.000000000	NA
