Variable	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
System.loc	  1	 6.73980413	6.73980413	47.4871096	0.228089714	0.001
year	  1	 3.02854735	3.02854735	21.3384480	0.102492667	0.001
Soil_Zone	  1	 0.39227085	0.39227085	 2.7638502	0.013275304	0.006
Glyphosphate_Treatment	  1	 0.13436482	0.13436482	 0.9467036	0.004547199	0.001
Sampling_date	  1	 1.62313559	1.62313559	11.4362400	0.054930459	0.001
System.loc:year	  1	 0.83617841	0.83617841	 5.8915208	0.028298106	0.001
System.loc:Soil_Zone	  1	 0.14778636	0.14778636	 1.0412687	0.005001414	0.304
year:Soil_Zone	  1	 0.91827571	0.91827571	 6.4699594	0.031076459	0.001
System.loc:Glyphosphate_Treatment	  1	 0.12143785	0.12143785	 0.8556232	0.004109723	0.001
year:Glyphosphate_Treatment	  1	 0.11597069	0.11597069	 0.8171028	0.003924702	0.646
Soil_Zone:Glyphosphate_Treatment	  1	 0.09427995	0.09427995	 0.6642748	0.003190640	0.834
System.loc:Sampling_date	  1	 0.23929123	0.23929123	 1.6859909	0.008098139	0.051
year:Sampling_date	  1	 1.57799989	1.57799989	11.1182242	0.053402968	0.001
Soil_Zone:Sampling_date	  1	 0.43386534	0.43386534	 3.0569154	0.014682952	0.004
Glyphosphate_Treatment:Sampling_date	  1	 0.10685275	0.10685275	 0.7528599	0.003616131	0.673
System.loc:year:Soil_Zone	  1	 0.24616532	0.24616532	 1.7344242	0.008330773	0.045
System.loc:year:Glyphosphate_Treatment	  1	 0.11695416	0.11695416	 0.8240321	0.003957984	0.598
System.loc:Soil_Zone:Glyphosphate_Treatment	  1	 0.08554502	0.08554502	 0.6027305	0.002895030	0.891
year:Soil_Zone:Glyphosphate_Treatment	  1	 0.09366475	0.09366475	 0.6599403	0.003169820	0.828
System.loc:year:Sampling_date	  1	 0.23667160	0.23667160	 1.6675336	0.008009484	0.049
System.loc:Soil_Zone:Sampling_date	  1	 0.12032324	0.12032324	 0.8477699	0.004072002	0.519
year:Soil_Zone:Sampling_date	  1	 0.39444378	0.39444378	 2.7791601	0.013348840	0.006
System.loc:Glyphosphate_Treatment:Sampling_date	  1	 0.09649076	0.09649076	 0.6798517	0.003265458	0.790
year:Glyphosphate_Treatment:Sampling_date	  1	 0.11029923	0.11029923	 0.7771430	0.003732767	0.672
Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.10520529	0.10520529	 0.7412523	0.003560377	0.712
System.loc:year:Soil_Zone:Glyphosphate_Treatment	  1	 0.08880383	0.08880383	 0.6256914	0.003005316	0.882
System.loc:year:Soil_Zone:Sampling_date	  1	 0.14901400	0.14901400	 1.0499184	0.005042960	0.310
System.loc:year:Glyphosphate_Treatment:Sampling_date	  1	 0.10230584	0.10230584	 0.7208234	0.003462253	0.749
System.loc:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.10088429	0.10088429	 0.7108075	0.003414145	0.786
year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.11562220	0.11562220	 0.8146474	0.003912908	0.594
System.loc:year:Soil_Zone:Glyphosphate_Treatment:Sampling_date	  1	 0.08984938	0.08984938	 0.6330581	0.003040700	0.895
Residuals	 76	10.78661385	0.14192913	NA	0.365042606	NA
Total	107	29.54891746	NA	NA	1.000000000	NA
